update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3847,-480.625,480.875,0.0,False
2,7847,-500.0,500.0,0.0,False
3,11847,-500.0,500.0,0.0,False
4,15847,-500.0,500.0,0.0,False
5,19847,-500.0,500.0,0.0,False
6,23511,-457.75,458.0,0.0,False
7,27459,-493.375,493.5,0.0,False
8,31459,-500.0,500.0,0.0,False
9,35250,-473.75,473.875,0.0,False
10,39232,-497.625,497.75,0.0,False
11,43075,-480.25,480.375,0.0,False
12,47075,-500.0,500.0,0.0,False
13,51075,-500.0,500.0,0.0,False
14,51200,-25.0,25.0,0.0,False
